Index,Highest Charting Position,Streams,Artist Followers,Genre,Tempo,Duration (ms)
262,82,8218423.0,6777818.0,"['hip hop', 'rap']",157.181,223719.0
263,85,7917707.0,6777818.0,"['hip hop', 'rap']",115.852,229565.0
264,108,6988886.0,6777818.0,"['hip hop', 'rap']",92.463,175123.0
265,121,6503281.0,8640063.0,"['dance pop', 'pop']",91.94200000000001,138293.0
266,132,6268542.0,6777818.0,"['hip hop', 'rap']",78.958,515865.0
267,141,6034281.0,6777818.0,"['hip hop', 'rap']",108.07,203588.0
268,165,5527865.0,8640063.0,"['dance pop', 'pop']",111.07600000000001,223560.0
269,50,5424579.0,11690201.0,"['atl hip hop', 'pop rap', 'rap', 'trap']",125.98299999999999,278191.0
270,176,5393789.0,8640063.0,"['dance pop', 'pop']",168.995,212947.0
271,179,5362817.0,8640063.0,"['dance pop', 'pop']",99.008,177373.0
272,138,5341887.0,1650683.0,"['italian adult pop', 'italian pop']",184.33900000000003,175924.0
273,10,5203364.0,29051363.0,"['latin', 'reggaeton', 'reggaeton colombiano']",168.169,232253.0
274,1,5108950.0,100604.0,['nz pop'],150.076,171375.0
275,59,6893939.0,29051363.0,"['latin', 'reggaeton', 'reggaeton colombiano']",93.005,393280.0
276,17,6308369.0,278679.0,['reggaeton'],100.07,186133.0
277,146,5666770.0,1647262.0,"['alt z', 'dance pop', 'pop', 'post-teen pop']",106.97399999999999,210220.0
278,112,5511544.0,289437.0,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']",133.888,189933.0
279,11,5430260.0,14097410.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",88.96700000000001,218210.0
280,6,5246577.0,14097410.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",140.02100000000002,218802.0
281,96,5220422.0,29539807.0,"['emo rap', 'miami hip hop']",134.02100000000002,119133.0
282,66,5189427.0,4840346.0,['chicago rap'],155.05700000000002,168729.0
283,1,5145099.0,6603627.0,"['melodic rap', 'rap', 'trap']",116.971,196653.0
284,31,5124606.0,140812.0,[],119.932,116750.0
285,170,5085147.0,2562082.0,"['modern rock', 'pop rap', 'seattle hip hop']",146.078,258343.0
286,6,5079587.0,1250353.0,[],115.884,190779.0
287,39,5048079.0,3864419.0,"['ohio hip hop', 'pop rap']",124.939,139461.0
288,133,5043647.0,32574754.0,"['dance pop', 'pop', 'post-teen pop']",109.012,220733.0
289,17,4975720.0,17719446.0,"['rap', 'slap house']",76.469,175721.0
290,7,4971176.0,27142474.0,"['dance pop', 'pop', 'uk pop']",113.01100000000001,221820.0
291,2,4916860.0,56308172.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",133.976,261493.0
292,175,4912036.0,14917926.0,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",119.93299999999999,217000.0
293,23,4911162.0,319192.0,"['dembow', 'dominican pop', 'rap dominicano', 'trap latino']",97.041,218107.0
294,176,4910070.0,19584111.0,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",105.14299999999999,216880.0
295,119,4904401.0,14097410.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",100.45,292987.0
296,7,4898977.0,17719446.0,"['rap', 'slap house']",155.00799999999998,312820.0
297,161,4862683.0,18191658.0,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",103.01899999999999,247160.0
298,84,4846549.0,152226.0,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']",106.064,233386.0
299,84,7615531.0,11690201.0,"['atl hip hop', 'pop rap', 'rap', 'trap']",135.976,255532.0
300,71,7506580.0,4840346.0,['chicago rap'],145.05,178776.0
301,106,6989528.0,4840346.0,['chicago rap'],168.146,190509.0
302,124,6410263.0,32262679.0,"['pop', 'pop rock']",142.989,172598.0
303,128,6323268.0,11690201.0,"['atl hip hop', 'pop rap', 'rap', 'trap']",126.06299999999999,206272.0
